player,pos,age,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,year,mpg,current_age,current_pos,min_year,year_in_league
Jerian Grant,PG,23,NYK,76,1265,11.2,0.479,0.256,.315,2,10.2,6.2,21.8,2,0.6,16.3,19,-0.2,1,0.8,0.03,-2.8,-0.3,-3.1,-0.3,2016,16.644736842105264,28,SG,2016,0
Jerian Grant,PG,24,CHI,63,1028,13.2,0.555,0.445,.243,1.8,9.9,5.8,17.4,2.3,0.6,11.7,16,1.4,1.2,2.5,0.119,-1.3,1.4,0.1,0.6,2017,16.317460317460316,28,SG,2016,1
Jerian Grant,PG,25,CHI,74,1686,14.3,0.528,0.372,.374,1.9,9.3,5.5,30.1,1.8,0.4,13.2,17.4,2.3,1,3.3,0.094,-0.9,-0.5,-1.3,0.3,2018,22.783783783783782,28,SG,2016,2
Jerian Grant,PG,26,ORL,60,939,10.8,0.526,0.5,.182,2.1,9.1,5.6,22.4,2.3,0.5,17.7,13.4,0.5,1.1,1.7,0.085,-2.9,1.3,-1.6,0.1,2019,15.65,28,SG,2016,3
Jerian Grant,SG,27,WAS,6,80,6.6,0.449,0.296,.259,2.6,5.7,4.1,15.3,0.6,1.1,9.1,17.2,0,0,0,-0.018,-4.8,-2,-6.8,-0.1,2020,13.333333333333334,28,SG,2016,4
Jerome Jordan,C,28,BRK,44,383,16.8,0.609,0,.468,15.3,15.5,15.4,5.3,1.1,3.1,16.3,16.1,0.9,0.3,1.2,0.156,-0.6,-0.6,-1.2,0.1,2015,8.704545454545455,34,C,2015,0
Jerome Robinson,SG,21,LAC,33,320,7.2,0.491,0.518,.082,1,12.2,6.8,8.3,1.6,0.7,10.2,16.7,-0.2,0.3,0.1,0.012,-4.2,-0.5,-4.7,-0.2,2019,9.696969696969697,23,SG,2019,0
Jerome Robinson,SG,22,TOT,63,979,7.4,0.476,0.494,.184,1.4,12.8,7,11.9,1.3,1.5,12.8,16.4,-0.6,0.8,0.2,0.009,-3.8,-0.2,-3.9,-0.5,2020,15.53968253968254,23,SG,2019,1
Jerome Robinson,SG,23,WAS,17,305,4.1,0.4,0.442,.211,1.4,11.8,6.6,10.2,1.8,1.6,15.5,16.7,-0.7,0.3,-0.4,-0.057,-6.5,-1.1,-7.6,-0.4,2021,17.941176470588236,23,SG,2019,2
Jerrelle Benimon,PF,23,UTA,2,3,4.7,NA,NA,,38.7,76.6,57.8,0,0,0,100,15.3,0,0,0,-0.215,-9.4,-3.7,-13,0,2015,1.5,29,PF,2015,0
Jevon Carter,PG,23,MEM,39,577,7.8,0.432,0.551,.173,2.7,10.3,6.4,17.4,2.2,1.8,14.2,18,-0.7,0.7,0,-0.003,-4.1,0.1,-4,-0.3,2019,14.794871794871796,25,PG,2019,0
Jevon Carter,PG,24,PHO,58,945,11.3,0.563,0.601,.111,3.5,10.5,6.9,11.9,2.4,1.6,11.2,12.9,0.8,1,1.8,0.093,-0.7,1.3,0.6,0.6,2020,16.29310344827586,25,PG,2019,1
Jevon Carter,PG,25,PHO,60,717,12.2,0.548,0.677,.031,2.6,11.8,7.3,13,2,1.1,6.6,15,0.7,0.8,1.6,0.104,-0.6,1.1,0.5,0.5,2021,11.95,25,PG,2019,2
Joe Chealey,PG,23,CHO,1,8,2,0.333,0,.000,0,0,0,17.7,0,0,0,16.2,0,0,0,-0.08,-8.5,-6,-14.6,0,2019,8,25,PG,2019,0
Joe Chealey,PG,24,CHO,4,33,-2.9,0.127,0.571,.286,0,0,0,3.9,6.1,0,20.2,13.2,-0.2,0,-0.1,-0.188,-14.3,1.7,-12.5,-0.1,2020,8.25,25,PG,2019,1
Joe Harris,SG,23,CLE,51,493,5.6,0.537,0.7,.125,1.7,7.8,4.8,7.7,0.7,0.3,17.6,14.1,0,0.2,0.2,0.018,-4,-1.6,-5.6,-0.4,2015,9.666666666666666,29,SF,2015,0
