player,pos,age,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,year,mpg,current_age,current_pos,min_year,year_in_league
A.J. Hammons,C,24,DAL,22,163,8.4,0.472,0.238,.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-6.6,0,-6.6,-0.2,2017,7.409090909090909,28,C,2017,0
Aaron Gordon,PF,19,ORL,47,797,11.4,0.517,0.231,.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.6,-0.1,-2.7,-0.2,2015,16.95744680851064,25,PF,2015,0
Aaron Gordon,PF,20,ORL,78,1863,17,0.541,0.245,.333,9,21.3,15.1,10.3,1.6,2.4,9,17.3,3.2,2.2,5.4,0.139,0.9,0.1,1,1.4,2016,23.884615384615383,25,PF,2015,1
Aaron Gordon,SF,21,ORL,80,2298,14.5,0.53,0.309,.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2,1.7,3.7,0.077,-0.3,-0.7,-1,0.6,2017,28.725,25,PF,2015,2
Aaron Gordon,PF,22,ORL,58,1909,16.5,0.53,0.395,.260,5,21.5,13.2,11.7,1.5,1.9,10,24.7,0.9,2,2.9,0.072,0.9,-0.6,0.3,1.1,2018,32.91379310344828,25,PF,2015,3
Aaron Gordon,PF,23,ORL,78,2633,15.1,0.538,0.332,.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,2019,33.756410256410255,25,PF,2015,4
Aaron Gordon,PF,24,ORL,62,2017,15.1,0.516,0.309,.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0,1,2020,32.53225806451613,25,PF,2015,5
Aaron Gordon,PF,25,TOT,50,1384,14.5,0.547,0.353,.299,6,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.2,0,0.7,2021,27.68,25,PF,2015,6
Aaron Harrison,SG,21,CHO,21,93,4.3,0.371,0.526,.632,4.7,13.1,8.8,3,3.2,0,14.1,13.7,-0.2,0.1,0,-0.014,-7.2,0.9,-6.3,-0.1,2016,4.428571428571429,26,SG,2016,0
Aaron Harrison,SG,22,CHO,5,17,-2.2,0.102,0.5,.500,0,19.5,9.7,22.6,0,0,0,12.9,-0.1,0,-0.1,-0.146,-10.1,-1.7,-11.8,0,2017,3.4,26,SG,2016,1
Aaron Harrison,SG,23,DAL,9,233,5.1,0.392,0.623,.246,1.8,9.9,5.7,6.7,1.9,0.8,3.8,15.5,-0.3,0.2,-0.1,-0.014,-6.8,-0.6,-7.5,-0.3,2018,25.88888888888889,26,SG,2016,2
Aaron Holiday,PG,22,IND,50,646,11.9,0.518,0.485,.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.065,-1.7,0.1,-1.6,0.1,2019,12.92,24,PG,2019,0
Aaron Holiday,PG,23,IND,66,1617,11.6,0.521,0.393,.155,1.5,9,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0,-1.6,0.2,2020,24.5,24,PG,2019,1
Aaron Holiday,PG,24,IND,66,1176,9.2,0.503,0.417,.190,1.4,6.8,4.1,14,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.2,-1,-4.1,-0.6,2021,17.818181818181817,24,PG,2019,2
Aaron Jackson,PG,31,HOU,1,35,2.4,0.405,0.444,.222,6.5,3.2,4.8,4,0,0,9.2,13.7,0,0,0,-0.017,-6.6,-2.3,-8.9,-0.1,2018,35,34,PG,2018,0
Aaron Nesmith,SF,21,BOS,46,669,9.4,0.573,0.607,.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5,0.6,1.1,0.076,-2.9,-0.4,-3.2,-0.2,2021,14.543478260869565,21,SF,2021,0
Abdel Nader,SF,24,BOS,48,522,5.1,0.439,0.436,.262,2.8,12,7.4,7.1,1.4,1.6,17,17.1,-0.9,0.8,-0.1,-0.014,-5.5,0.2,-5.3,-0.4,2018,10.875,27,SF,2018,0
Abdel Nader,SF,25,OKC,61,694,8.8,0.522,0.465,.167,2,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0,0.9,0.9,0.062,-3.6,0.3,-3.2,-0.2,2019,11.37704918032787,27,SF,2018,1
Abdel Nader,SF,26,OKC,55,867,11.3,0.591,0.487,.251,1.8,10.6,6.4,6.4,1.3,2,12.8,17,0.5,0.9,1.3,0.074,-1.1,0.2,-1,0.2,2020,15.763636363636364,27,SF,2018,2
Abdel Nader,SF,27,PHO,24,355,13.4,0.605,0.371,.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19,0.3,0.4,0.7,0.095,-1.2,0.8,-0.4,0.2,2021,14.791666666666666,27,SF,2018,3
Adam Mokoka,SF,21,CHI,11,112,8.2,0.538,0.536,.143,6.6,3.1,4.9,5,1.7,0,6.3,12.1,0.1,0.1,0.2,0.073,-3.1,-1,-4.1,-0.1,2020,10.181818181818182,22,SG,2020,0
Adam Mokoka,SG,22,CHI,14,56,2.2,0.386,0.526,.053,2,7.8,4.9,11.9,1.7,1.6,20.5,18.9,-0.2,0.1,-0.1,-0.112,-7.7,-2.2,-9.9,-0.1,2021,4,22,SG,2020,1
Admiral Schofield,PF,22,WAS,33,368,6.1,0.502,0.663,.163,2,12.4,7,5.3,1,0.9,6.6,11.9,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3,2020,11.151515151515152,23,PF,2020,0
Adonis Thomas,SF,20,TOT,6,37,7.3,0.485,0.357,.071,0,9.2,4.6,13.4,0,0,6.5,18.5,0,0,0,0.001,-4.2,-2,-6.2,0,2014,6.166666666666667,27,SF,2014,0
Adreian Payne,PF,23,TOT,32,739,7.7,0.443,0.041,.209,7.2,18.2,12.5,6.4,1.3,1,15.5,17,-0.7,0.2,-0.5,-0.033,-5,-2,-6.9,-0.9,2015,23.09375,29,PF,2015,0
Adreian Payne,PF,24,MIN,52,486,5.6,0.422,0.221,.179,4.8,21.5,13.3,8.9,1.7,1.8,18.7,17.7,-0.9,0.4,-0.5,-0.047,-6.1,-0.2,-6.2,-0.5,2016,9.346153846153847,29,PF,2015,1
Adreian Payne,PF,25,MIN,18,135,14.4,0.505,0.278,.352,7.7,21,14.3,8,3,4.4,11.4,23.1,0,0.2,0.2,0.086,-3.8,1.5,-2.3,0,2017,7.5,29,PF,2015,2
Adreian Payne,PF,26,ORL,5,43,18.8,0.831,0.3,.600,5.1,18,11.5,0,2.3,0,13.7,15,0.1,0,0.2,0.203,1.8,0.6,2.4,0,2018,8.6,29,PF,2015,3
Alan Williams,PF,23,PHO,10,68,21.1,0.481,0,.583,21.9,39.2,30.3,11.7,2.9,6,16.6,22.6,0.1,0.2,0.2,0.146,-2,1.8,-0.2,0,2016,6.8,28,PF,2016,0
Alan Williams,C,24,PHO,47,708,19.5,0.547,0.004,.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,1.1,0.9,2.1,0.142,-0.8,-0.6,-1.3,0.1,2017,15.063829787234043,28,PF,2016,1
Alan Williams,PF,25,PHO,5,70,9.3,0.455,0,.500,4.5,29.5,16.8,16.3,3.4,1.2,24.2,17.5,-0.1,0.1,0,-0.004,-7.3,2.3,-5,-0.1,2018,14,28,PF,2016,2
Alan Williams,PF,26,BRK,5,26,32.9,0.61,0.077,.308,16.2,60.3,38.4,22.3,1.8,0,6.3,25.5,0.1,0.1,0.2,0.312,7.6,4.2,11.8,0.1,2019,5.2,28,PF,2016,3
Alec Peters,PF,22,PHO,20,225,10.7,0.523,0.784,.135,3.7,14,8.8,7.9,0.4,0.7,4.9,15.5,0.2,0,0.3,0.055,-0.5,-2.3,-2.8,0,2018,11.25,25,PF,2018,0
Aleksej Pokusevski,PF,19,OKC,45,1090,6.1,0.43,0.507,.103,2.8,17.6,10.1,13.1,0.9,3.4,18.8,20.5,-2.9,1,-1.9,-0.084,-5.2,-0.7,-5.9,-1.1,2021,24.22222222222222,19,PF,2021,0
Alen Smailagić,C,19,GSW,14,139,14.5,0.61,0.325,.475,7.5,13.7,10.5,14.3,1,2.6,18.5,18.2,0.2,0.1,0.2,0.081,-1.4,-0.8,-2.2,0,2020,9.928571428571429,20,PF,2020,0
Alen Smailagić,PF,20,GSW,15,84,8.9,0.472,0.37,.222,7.7,12.5,10.1,6.5,1.7,5.2,14.4,17.6,-0.1,0.1,0,0.015,-4.9,-0.5,-5.4,-0.1,2021,5.6,20,PF,2020,1
Álex Abrines,SG,23,OKC,68,1055,10.1,0.56,0.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1,2017,15.514705882352942,27,SG,2017,0
Álex Abrines,SG,24,OKC,75,1134,9,0.567,0.759,.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1,2.2,0.094,-1.9,0.4,-1.5,0.1,2018,15.12,27,SG,2017,1
Álex Abrines,SG,25,OKC,31,588,6.3,0.507,0.809,.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2,2019,18.967741935483872,27,SG,2017,2
Alex Caruso,PG,23,LAL,37,562,8.7,0.519,0.371,.259,2.9,9.4,6.2,17.8,2,1.4,24.5,12.9,-0.1,0.6,0.5,0.041,-3.8,0.9,-2.9,-0.1,2018,15.18918918918919,26,PG,2018,0
Alex Caruso,PG,24,LAL,25,531,13.9,0.569,0.289,.370,4,9,6.5,19.7,2.1,1.4,17.3,19,0.5,0.6,1,0.093,-1,0.7,-0.2,0.2,2019,21.24,26,PG,2018,1
Alex Caruso,PG,25,LAL,64,1175,10.8,0.525,0.412,.323,1.6,9.8,5.7,13.6,2.8,1.4,13.8,13.8,0.5,1.8,2.3,0.095,-2.6,2.4,-0.2,0.5,2020,18.359375,26,PG,2018,2
Alex Caruso,PG,26,LAL,58,1216,11.1,0.547,0.449,.249,2.9,12.8,7.9,18.1,2.6,1.1,18.3,14.8,0.3,2.1,2.4,0.095,-2.5,2.3,-0.2,0.6,2021,20.96551724137931,26,PG,2018,3
Alex Kirk,C,23,CLE,5,14,8.5,0.41,0,.500,8.3,0,4.1,10.1,0,0,0,15.7,0,0,0,0.061,-2.5,-3.5,-6,0,2015,2.8,29,C,2015,0
Alex Len,C,20,PHO,42,362,7.3,0.469,0,.397,12.1,18.6,15.3,1.6,0.6,3.8,22.1,14.3,-0.2,0.4,0.2,0.024,-5.9,-0.7,-6.6,-0.4,2014,8.619047619047619,27,C,2014,0
Alex Len,C,21,PHO,69,1518,13.5,0.542,0.008,.295,10.2,22.7,16.4,3.1,1.1,5.3,15.7,13.7,1.2,2.1,3.4,0.107,-2.8,1,-1.8,0.1,2015,22,27,C,2014,1
Alex Len,C,22,PHO,78,1821,12.4,0.482,0.011,.383,10.4,25.4,17.7,8.5,1,2.8,16.6,20.4,-0.5,1.8,1.3,0.035,-3.5,-0.8,-4.3,-1,2016,23.346153846153847,27,C,2014,2
Alex Len,C,23,PHO,77,1560,15,0.553,0.026,.449,10.6,25.3,17.8,4.2,1.2,5.1,15.5,17.6,1.2,1.7,3,0.091,-2.4,0.1,-2.3,-0.1,2017,20.25974025974026,27,C,2014,3
Alex Len,C,24,PHO,69,1395,19.4,0.612,0.008,.611,13.2,26.7,19.8,9.1,0.9,3.5,14,17,3.2,1.3,4.5,0.154,0.6,-0.3,0.3,0.8,2018,20.217391304347824,27,C,2014,4
Alex Len,C,25,ATL,77,1544,17.2,0.575,0.315,.333,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1,3.2,0.1,0,-1.3,-1.2,0.3,2019,20.051948051948052,27,C,2014,5
Alex Len,C,26,TOT,55,970,17.7,0.6,0.185,.329,11.1,25.2,18,7.9,1.1,4.3,13.1,18.1,1.5,1,2.5,0.122,-0.5,-0.3,-0.7,0.3,2020,17.636363636363637,27,C,2014,6
Alex Len,C,27,TOT,64,979,16.4,0.643,0.09,.417,8.5,19.7,14.1,7,0.9,5.6,14.3,16.3,1.5,1.3,2.7,0.133,-1.2,0.6,-0.6,0.3,2021,15.296875,27,C,2014,7
Alex Poythress,PF,23,PHI,6,157,13.2,0.548,0.352,.185,7.7,12.7,10.2,5.1,0.9,1,4.9,16.9,0.2,0.1,0.3,0.099,-0.8,-2.1,-2.9,0,2017,26.166666666666668,27,PF,2017,0
Alex Poythress,PF,24,IND,25,104,7.8,0.5,0.423,.000,7.7,10.8,9.2,2.6,1.4,0.9,7.1,12,0.1,0.1,0.1,0.066,-3.8,-1.3,-5.1,-0.1,2018,4.16,27,PF,2017,1
Alex Poythress,PF,25,ATL,21,305,12.2,0.571,0.284,.358,9.8,16.6,13.1,7.7,0.6,2.8,12.2,14.2,0.4,0.2,0.5,0.086,-2.5,-1,-3.5,-0.1,2019,14.523809523809524,27,PF,2017,2
Alex Stepheson,PF,28,TOT,8,73,14.8,0.341,0,.444,28.5,14.5,21.8,4.3,0.7,6,0,19.8,0,0.1,0.1,0.068,-0.5,-2,-2.4,0,2016,9.125,33,PF,2016,0
Alexis Ajinça,C,25,NOP,56,951,14.6,0.589,0.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,1.2,0.9,2.1,0.104,-2.7,0.1,-2.6,-0.1,2014,16.982142857142858,32,C,2014,0
Alexis Ajinça,C,26,NOP,68,957,19.9,0.595,0,.301,12.4,25,18.7,8.2,1.2,4,15.6,21.1,1.9,1.2,3.2,0.159,-0.7,0.4,-0.3,0.4,2015,14.073529411764707,32,C,2014,1
Alexis Ajinça,C,27,NOP,59,861,13.8,0.514,0.003,.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1,0.058,-3.4,-0.6,-4,-0.4,2016,14.59322033898305,32,C,2014,2
Alexis Ajinça,C,28,NOP,39,584,12.9,0.529,0.022,.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-4,0.7,-3.3,-0.2,2017,14.974358974358974,32,C,2014,3
Alfonzo McKinnie,SF,25,TOR,14,53,10.1,0.643,0.6,.200,2.2,12.4,7.4,2.7,0.9,1.5,15.5,16,0,0.1,0.1,0.084,-2.6,-0.4,-3,0,2018,3.7857142857142856,28,SF,2018,0
Alfonzo McKinnie,SF,26,GSW,72,1003,11.2,0.569,0.429,.175,9,16.9,13.1,4,0.9,1.3,9.2,13.9,1.2,0.9,2.1,0.1,-2.2,-1.3,-3.5,-0.4,2019,13.930555555555555,28,SF,2018,1
Alfonzo McKinnie,SF,27,CLE,40,593,8.7,0.493,0.38,.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5,2020,14.825,28,SF,2018,2
Alfonzo McKinnie,SF,28,LAL,39,258,15.5,0.604,0.419,.194,9.6,13.9,11.8,3.6,1.3,0,4.7,17.8,0.5,0.3,0.8,0.156,0.4,-1.2,-0.8,0.1,2021,6.615384615384615,28,SF,2018,3
Alize Johnson,PF,22,IND,14,64,6.3,0.333,0.125,.500,7.1,25.5,16.5,2,0.8,4.2,0,13.3,-0.1,0.1,0,0.027,-5.7,-2,-7.7,-0.1,2019,4.571428571428571,24,PF,2019,0
Alize Johnson,PF,23,IND,17,118,13.3,0.509,0.276,.345,15,29.4,22.3,7.7,1.2,1.5,17.3,15,0.1,0.2,0.3,0.111,-1.8,0.3,-1.5,0,2020,6.9411764705882355,24,PF,2019,1
Alize Johnson,PF,24,BRK,18,189,23.5,0.638,0.088,.191,16.6,35,26.3,10.9,1.3,2.3,10.9,19.1,0.6,0.3,0.9,0.227,2.4,0.2,2.6,0.2,2021,10.5,24,PF,2019,2
Allen Crabbe,SG,21,POR,15,100,7.7,0.475,0.424,.121,1.1,8.5,4.8,8.7,1,0.7,7.9,16.5,0,0.1,0.1,0.037,-4.6,-1.4,-6.1,-0.1,2014,6.666666666666667,28,SG-SF,2014,0
Allen Crabbe,SG,22,POR,51,683,8.7,0.525,0.556,.105,1.1,10.1,5.7,8.1,1.4,1.6,8.6,11.5,0.5,0.8,1.3,0.088,-2.4,1.5,-0.8,0.2,2015,13.392156862745098,28,SG-SF,2014,1
Allen Crabbe,SG,23,POR,81,2105,12.2,0.572,0.42,.167,1.4,9.7,5.6,7.2,1.5,0.6,8.1,16.4,3.1,1.2,4.3,0.098,-0.9,-0.1,-1,0.5,2016,25.987654320987655,28,SG-SF,2014,2
Allen Crabbe,SG,24,POR,79,2254,11.6,0.602,0.467,.192,0.9,10.2,5.6,6.1,1.2,0.7,8.1,14.9,3.1,1,4.2,0.089,-0.7,-0.6,-1.3,0.4,2017,28.531645569620252,28,SG-SF,2014,3
Allen Crabbe,SG,25,BRK,75,2197,12.3,0.558,0.643,.163,1.3,14.4,7.8,8.4,1,1.2,8.1,19,1.8,1.4,3.2,0.07,0,-0.7,-0.7,0.7,2018,29.293333333333333,28,SG-SF,2014,4
Allen Crabbe,SG,26,BRK,43,1133,7.7,0.519,0.694,.150,1.5,12.2,6.9,5.8,1,0.9,10.4,16.4,-0.2,1,0.8,0.035,-2.4,-0.4,-2.8,-0.2,2019,26.348837209302324,28,SG-SF,2014,5
Allen Crabbe,SG-SF,27,TOT,37,653,6,0.47,0.672,.079,1.8,11,6.3,6.8,1.1,0.5,8.5,12.7,-0.2,0.2,-0.1,-0.007,-3.8,-1.5,-5.3,-0.5,2020,17.64864864864865,28,SG-SF,2014,6
Allonzo Trier,SG,23,NYK,64,1459,12.2,0.564,0.255,.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-1.6,-1.5,-3.1,-0.4,2019,22.796875,25,SG,2019,0
Allonzo Trier,SG,24,NYK,24,291,14.5,0.62,0.5,.406,2.1,8.7,5.3,14.8,0.5,1.3,15,21.4,0.5,0.1,0.5,0.087,0.9,-1.4,-0.5,0.1,2020,12.125,25,SG,2019,1
Amida Brimah,C,26,IND,5,29,16.6,0.697,0,.375,7.5,22.3,15,4.8,0,14,30,19.6,0,0.1,0,0.073,-5.5,1.5,-4,0,2021,5.8,26,C,2021,0
Amile Jefferson,PF,25,ORL,12,68,21.1,0.692,0,.500,9.3,24,16.5,6.4,2.2,3.7,4.9,13.1,0.2,0.1,0.4,0.258,0.5,2,2.5,0.1,2019,5.666666666666667,27,PF,2019,0
Amile Jefferson,PF,26,ORL,18,74,8.9,0.372,0,1.000,14.1,19.5,16.7,7.2,0.7,3.7,13,13.5,0,0.1,0,0.023,-4.8,-1,-5.8,-0.1,2020,4.111111111111111,27,PF,2019,1
Amir Coffey,SG,22,LAC,18,159,8.5,0.493,0.352,.204,2.7,7.6,5.2,12.3,1.5,1.1,12,17.6,0,0.2,0.1,0.041,-4.2,0.1,-4.1,-0.1,2020,8.833333333333334,23,SG,2020,0
Amir Coffey,SG,23,LAC,44,394,10.1,0.585,0.544,.369,2.9,9.4,6.3,7.4,1.3,0,11.1,15.1,0.4,0.3,0.7,0.085,-2.1,-0.5,-2.6,-0.1,2021,8.954545454545455,23,SG,2020,1
Andre Dawkins,SG,23,MIA,4,22,-5,0.25,1,.000,0,10.7,5.5,6.6,0,0,14.3,15,-0.1,0,-0.1,-0.172,-9,-3.8,-12.8,-0.1,2015,5.5,29,SG,2015,0
Andre Ingram,SG,32,LAL,2,64,16.3,0.655,0.529,.176,1.7,8.3,5,15.3,2.2,3.8,14.1,14.1,0.1,0.1,0.2,0.157,1.7,2.5,4.3,0.1,2018,32,35,SG,2018,0
Andre Ingram,SG,33,LAL,4,15,-11.9,0,0.5,.000,7,6.7,6.9,0,3.1,0,14.3,19.3,-0.1,0,-0.1,-0.408,-14.8,-4.8,-19.6,-0.1,2019,3.75,35,SG,2018,1
Andre Roberson,SG,22,OKC,40,399,9,0.518,0.191,.147,10.7,15.6,13.3,5.2,2.4,2,20.8,10.1,0.2,0.6,0.8,0.099,-3.8,1.4,-2.4,0,2014,9.975,29,SG,2014,0
Andre Roberson,SG,23,OKC,67,1286,9.1,0.513,0.423,.239,5.1,16,10.6,7.4,2.1,1.8,17.2,9,0.5,1.6,2.1,0.079,-2.4,1.7,-0.7,0.4,2015,19.19402985074627,29,SG,2014,1
Andre Roberson,SG,24,OKC,70,1553,10.2,0.566,0.376,.197,5.9,11.4,8.8,4,1.7,2,10.5,9.1,1.8,1.6,3.4,0.105,-0.7,1.3,0.5,1,2016,22.185714285714287,29,SG,2014,2
Andre Roberson,SF,25,OKC,79,2376,9.6,0.51,0.397,.240,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,1.1,3.1,4.2,0.085,-2.5,1.4,-1,0.6,2017,30.075949367088608,29,SG,2014,3
Andre Roberson,SG,26,OKC,39,1037,10.9,0.543,0.222,.235,7.8,12.2,9.9,6,2.2,3.1,14.4,8.6,0.8,1.3,2.2,0.1,-1.9,1.8,-0.1,0.5,2018,26.58974358974359,29,SG,2014,4
Andre Roberson,SF,28,OKC,7,87,5.4,0.335,0.483,.069,9.2,24.7,17.1,6.3,0.6,3,6.3,16.1,-0.1,0.1,0,-0.017,-5.2,-0.1,-5.3,-0.1,2020,12.428571428571429,29,SG,2014,6
Andre Roberson,SG,29,BRK,5,63,4.2,0.202,0.571,.143,12.9,13.3,13.2,7.4,2.3,1.4,11.8,11.7,-0.1,0.1,-0.1,-0.043,-5.1,-1.2,-6.2,-0.1,2021,12.6,29,SG,2014,7
Andrew Bynum,C,26,TOT,26,516,15.2,0.456,0,.218,11.4,20.3,15.8,9.7,0.6,4.7,12.1,24.3,-0.2,0.6,0.4,0.038,-1.4,-0.5,-1.9,0,2014,19.846153846153847,33,C,2014,0
Andrew Harrison,PG,22,MEM,72,1474,8.7,0.477,0.433,.539,1.7,9,5.3,20,1.9,1.4,16,16.4,0,1.5,1.6,0.051,-4,0.6,-3.4,-0.5,2017,20.47222222222222,26,PG,2017,0
Andrew Harrison,PG,23,MEM,56,1326,12.7,0.534,0.331,.371,2,9.7,5.7,21.3,1.4,1.8,14,19.6,1,0.7,1.7,0.062,-1,-0.5,-1.5,0.2,2018,23.678571428571427,26,PG,2017,1
Andrew Harrison,PG,24,TOT,17,187,5.8,0.443,0.472,.340,3.4,8.5,5.8,17.1,1.1,0.9,16.5,16.8,-0.1,0,-0.1,-0.027,-5.8,-1.2,-7.1,-0.2,2019,11,26,PG,2017,2
Andrew White,SF,24,ATL,15,209,5.8,0.461,0.671,.055,2.1,16,9.1,4.3,0.7,0.4,9.7,17.3,-0.2,0.1,-0.1,-0.034,-3.4,-2.1,-5.5,-0.2,2018,13.933333333333334,27,SF,2018,0
Andrew Wiggins,SF,19,MIN,82,2969,13.9,0.517,0.111,.410,5,9.5,7.2,9.8,1.5,1.3,11.7,22.6,2.1,0,2.1,0.034,-0.4,-2,-2.4,-0.3,2015,36.207317073170735,25,PF,2015,0
Andrew Wiggins,SF,20,MIN,81,2845,16.5,0.543,0.147,.437,4.3,7.5,5.9,10.1,1.4,1.3,10.6,27.2,3.4,0.7,4.1,0.069,0.9,-2.2,-1.3,0.5,2016,35.123456790123456,25,PF,2015,1
Andrew Wiggins,SF,21,MIN,82,3048,16.5,0.534,0.184,.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29,3.3,0.9,4.2,0.066,0.7,-2.4,-1.7,0.2,2017,37.170731707317074,25,PF,2015,2
Andrew Wiggins,SF,22,MIN,82,2979,13,0.505,0.26,.242,3.1,10.8,6.9,8.2,1.5,1.5,8.8,23.4,0.5,1.6,2.1,0.034,-0.8,-1.7,-2.4,-0.3,2018,36.329268292682926,25,PF,2015,3
Andrew Wiggins,SF,23,MIN,73,2543,12.4,0.493,0.288,.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,-0.6,1.3,0.6,0.012,-1.2,-1.8,-3,-0.6,2019,34.83561643835616,25,PF,2015,4
Andrew Wiggins,SF,24,TOT,54,1858,16.4,0.536,0.342,.274,3.6,12.3,7.8,18.1,1.1,2.4,10.7,27.4,0.8,1.1,1.9,0.05,1.1,-1.4,-0.3,0.8,2020,34.407407407407405,25,PF,2015,5
Andrew Wiggins,PF,25,GSW,71,2364,15,0.568,0.348,.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,1.2,2.7,3.9,0.08,-0.1,-0.6,-0.7,0.8,2021,33.29577464788732,25,PF,2015,6
Anfernee Simons,SG,19,POR,20,141,11.1,0.535,0.46,.254,2.3,7.4,4.9,13.7,0.3,0,13.6,24.3,0,0,0.1,0.02,-1.5,-3.7,-5.3,-0.1,2019,7.05,21,SG,2019,0
Anfernee Simons,SG,20,POR,70,1449,9,0.502,0.422,.172,1.8,9.1,5.5,9.2,0.9,0.6,9.6,18.7,0,0.1,0.2,0.005,-2.6,-1.9,-4.5,-0.9,2020,20.7,21,SG,2019,1
Anfernee Simons,SG,21,POR,64,1104,12.3,0.589,0.703,.142,1.3,12.5,6.8,11.4,0.8,0.6,9.2,18.3,1.5,0.3,1.8,0.078,0.6,-1.8,-1.3,0.2,2021,17.25,21,SG,2019,2
Ángel Delgado,C,24,LAC,2,15,4.3,0.255,0,.400,14.6,13.7,14.1,0,3.1,0,0,16.5,0,0,0,-0.055,-7,-5,-12,0,2019,7.5,26,C,2019,0
Ante Žižić,C,21,CLE,32,214,24.2,0.746,0,.433,12.8,18.6,15.7,3.8,0.5,5.2,12.1,18.8,0.9,0.2,1,0.231,1.9,-0.9,1,0.2,2018,6.6875,24,C,2018,0
Ante Žižić,C,22,CLE,59,1082,16.2,0.59,0,.399,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2,0.087,-1.1,-2.1,-3.2,-0.3,2019,18.338983050847457,24,C,2018,1
Ante Žižić,C,23,CLE,22,221,16.4,0.597,0,.264,9,24.4,16.6,4.2,1.5,1.9,11.1,17.5,0.3,0.2,0.5,0.106,-1.7,-1.5,-3.2,-0.1,2020,10.045454545454545,24,C,2018,2
Anthony Bennett,PF,20,CLE,52,663,6.9,0.425,0.236,.307,8.1,18.4,13.1,4,1.6,1,15.5,20.3,-1.1,0.7,-0.4,-0.028,-6,-1.3,-7.4,-0.9,2014,12.75,27,PF,2014,0
Anthony Bennett,PF,21,MIN,57,894,11.4,0.458,0.077,.215,6.5,21.6,13.8,8.7,1.5,1.4,10,17.8,-0.1,0.4,0.3,0.017,-2.5,-1.4,-3.9,-0.4,2015,15.68421052631579,27,PF,2014,1
Anthony Bennett,PF,22,TOR,19,84,10.4,0.446,0.519,.370,8.3,22.8,15.7,0,3.1,0,11.3,19.2,0,0.1,0.1,0.054,-2.9,-1.1,-3.9,0,2016,4.421052631578948,27,PF,2014,2
Anthony Bennett,PF,23,BRK,23,264,14.7,0.533,0.522,.391,10.2,21,15.6,7.1,0.9,0.9,10,19.4,0.3,0.2,0.5,0.09,0.5,-1.9,-1.4,0,2017,11.478260869565217,27,PF,2014,3
Anthony Brown,SF,23,LAL,29,599,4.9,0.427,0.556,.159,1.6,11.3,6.3,4.8,1.2,0.7,10,11,-0.4,0.1,-0.3,-0.024,-4.5,-1,-5.5,-0.5,2016,20.655172413793103,28,SF,2016,0
Anthony Brown,SF,24,TOT,11,159,7.2,0.43,0.54,.000,5.3,16.9,11,7.6,1.5,0.5,10.7,15.6,-0.2,0.2,0,0.001,-4.5,0.1,-4.4,-0.1,2017,14.454545454545455,28,SF,2016,1
