hoop_math_link,hoop_math_name,hoop_math_match_name,sref_name,sref_link
UMES2021.php,UMES,Maryland Eastern-Shore,Maryland-Eastern Shore,maryland-eastern-shore
UMassLowell2021.php,UMassLowell,UMassLowell,Massachusetts-Lowell,massachusetts-lowell
UNCAsheville2021.php,UNCAsheville,North Carolina Ashville,North Carolina-Asheville,north-carolina-asheville
UNCGreensboro2021.php,UNCGreensboro,North Carolina Greensboro,North Carolina-Greensboro,north-carolina-greensboro
UNCW2021.php,UNCW,North Carolina Wilmington,North Carolina-Wilmington,north-carolina-wilmington
UNI2021.php,UNI,Northern Iowa,Northern Iowa,northern-iowa
UNLV2021.php,UNLV,Nevada-Las Vegas,Nevada-Las Vegas,nevada-las-vegas
USCUpstate2021.php,USCUpstate,South Carolina Upstate,South Carolina Upstate,south-carolina-upstate
UTArlington2021.php,UTArlington,UTArlington,Texas-Arlington,texas-arlington
UTMartin2021.php,UTMartin,Tennessee-Martin,Tennessee-Martin,tennessee-martin
UTEP2021.php,UTEP,UTEP,Texas-El Paso,texas-el-paso
UTRGV2021.php,UTRGV,UTRGV,Texas-Rio Grande Valley,texas-pan-american
UTSA2021.php,UTSA,UTSA,Texas-San Antonio,texas-san-antonio
Utah2021.php,Utah,Utah,Utah,utah
UtahSt.2021.php,UtahSt.,UtahSt.,Utah State,utah-state
UtahValley2021.php,UtahValley,UtahValley,Utah Valley,utah-valley
VCU2021.php,VCU,VCU,Virginia Commonwealth,virginia-commonwealth
VMI2021.php,VMI,VMI,Virginia Military Institute,virginia-military-institute
Valparaiso2021.php,Valparaiso,Valparaiso,Valparaiso,valparaiso
Vanderbilt2021.php,Vanderbilt,Vanderbilt,Vanderbilt,vanderbilt
Vermont2021.php,Vermont,Vermont,Vermont,vermont
Villanova2021.php,Villanova,Villanova,Villanova,villanova
Virginia2021.php,Virginia,Virginia,Virginia,virginia
VirginiaTech2021.php,VirginiaTech,VirginiaTech,Virginia Tech,virginia-tech
Wagner2021.php,Wagner,Wagner,Wagner,wagner
WakeForest2021.php,WakeForest,WakeForest,Wake Forest,wake-forest
Washington2021.php,Washington,Washington,Washington,washington
WashingtonSt.2021.php,WashingtonSt.,WashingtonSt.,Washington State,washington-state
WeberSt.2021.php,WeberSt.,WeberSt.,Weber State,weber-state
WestVirginia2021.php,WestVirginia,WestVirginia,West Virginia,west-virginia
WesternCaro.2021.php,WesternCaro.,WesternCaro.,Western Carolina,western-carolina
WesternIll.2021.php,WesternIll.,WesternIll.,Western Illinois,western-illinois
WesternKy.2021.php,WesternKy.,WesternKy.,Western Kentucky,western-kentucky
WesternMich.2021.php,WesternMich.,WesternMich.,Western Michigan,western-michigan
WichitaSt.2021.php,WichitaSt.,WichitaSt.,Wichita State,wichita-state
William&Mary2021.php,William&Mary,William&Mary,William & Mary,william-mary
Winthrop2021.php,Winthrop,Winthrop,Winthrop,winthrop
Wisconsin2021.php,Wisconsin,Wisconsin,Wisconsin,wisconsin
Wofford2021.php,Wofford,Wofford,Wofford,wofford
WrightSt.2021.php,WrightSt.,WrightSt.,Wright State,wright-state
Wyoming2021.php,Wyoming,Wyoming,Wyoming,wyoming
Xavier2021.php,Xavier,Xavier,Xavier,xavier
Yale2021.php,Yale,Yale,Yale,yale
YoungstownSt.2021.php,YoungstownSt.,YoungstownSt.,Youngstown State,youngstown-state
