bbref_id,height,weight
/cbb/players/maddox-daniels-1.html,77.34375,211
/cbb/players/keeshawn-barthelemy-1.html,73.4375,163
/cbb/players/adama-sanogo-1.html,80.46875,240
/cbb/players/jalen-gaffney-1.html,74.21875,185
/cbb/players/james-bouknight-1.html,76.5625,190
/cbb/players/tyler-polley-1.html,80.46875,215
/cbb/players/rj-cole-1.html,72.265625,185
/cbb/players/tyrese-martin-1.html,77.34375,215
/cbb/players/josh-carlton-1.html,82.421875,240
/cbb/players/isaiah-whaley-1.html,80.46875,230
/cbb/players/andre-jackson-8.html,77.34375,210
/cbb/players/brendan-adams-1.html,75.390625,195
/cbb/players/christian-bishop-1.html,78.515625,220
/cbb/players/ryan-kalkbrenner-1.html,83.203125,235
/cbb/players/marcus-zegarowski-1.html,73.4375,180
/cbb/players/mitchell-ballock-1.html,76.5625,205
/cbb/players/damien-jefferson-1.html,76.5625,220
/cbb/players/shereef-mitchell-1.html,71.484375,170
/cbb/players/denzel-mahoney-1.html,76.5625,220
/cbb/players/antwann-jones-2.html,77.34375,220
/cbb/players/alex-oconnell-1.html,77.34375,180
/cbb/players/hyunjung-lee-1.html,78.515625,210
/cbb/players/luka-brajkovic-1.html,81.25,250
/cbb/players/carter-collins-1.html,74.21875,190
/cbb/players/kellan-grady-1.html,76.5625,205
/cbb/players/mike-jones-35.html,76.5625,210
/cbb/players/grant-huffman-1.html,74.21875,185
/cbb/players/bates-jones-1.html,79.296875,225
/cbb/players/nelson-boachie-yiadom-1.html,79.296875,220
/cbb/players/sam-mennenga-1.html,80.46875,245
/cbb/players/chase-johnson-1.html,80.46875,226
/cbb/players/rj-blakney-1.html,77.34375,195
/cbb/players/mustapha-amzil-1.html,81.25,220
/cbb/players/ibi-watson-1.html,76.5625,195
/cbb/players/jordy-tshimanga-1.html,82.421875,278
/cbb/players/jalen-crutcher-1.html,72.265625,175
/cbb/players/zimi-nwokeji-1.html,78.515625,220
/cbb/players/koby-brea-1.html,77.34375,174
/cbb/players/elijah-weaver-1.html,77.34375,205
/cbb/players/rodney-chatman-1.html,72.265625,180
/cbb/players/nick-ongenda-1.html,82.421875,210
/cbb/players/pauly-paulicap-1.html,79.296875,225
/cbb/players/charlie-moore-1.html,70.3125,180
/cbb/players/javon-freeman-1.html,75.390625,180
