player,class,season,pos,school,conf,g,mp,fg,fga,fgpercent,x2p,x2pa,x3p,x3pa,x3ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,pprod,ortg,drtg,ows,dws,ws,obpm,dbpm,bpm,player_link,school_link,conf_link,season_link
Zach Edey,FR,2020-21,C,Purdue,Big Ten,28,411,89,149,0.597,89,149,0,0,NA,65,91,0.714,48,76,124,10,4,30,38,64,243,28.9,0.632,0.597,13.8,21.4,17.6,5.9,0.6,9.6,16.5,29,218,115.9,96.4,1.5,0.8,2.2,4.1,2.6,6.6,/cbb/players/zach-edey-1.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Sasha Stefanovic,JR,2020-21,G,Purdue,Big Ten,25,735,67,161,0.416,17,36,50,125,0.4,48,57,0.842,2,64,66,64,18,4,27,44,232,15.2,0.617,0.571,0.3,10.1,5.2,16.1,1.5,0.7,12.6,15.1,221,125.2,103.8,1.9,0.8,2.7,3.7,2.5,6.2,/cbb/players/sasha-stefanovic-1.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Mason Gillis,FR,2020-21,F,Purdue,Big Ten,28,622,46,99,0.465,27,45,19,54,0.352,35,43,0.814,44,70,114,37,12,2,31,64,146,12.9,0.611,0.561,8.4,13,10.7,10.7,1.2,0.4,20.6,12.5,161,118.4,103.4,1.2,0.7,1.9,2.1,2,4.1,/cbb/players/mason-gillis-1.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Isaiah Thompson,SO,2020-21,G,Purdue,Big Ten,28,497,35,85,0.412,12,27,23,58,0.397,24,32,0.75,11,27,38,27,5,0,14,34,117,10,0.584,0.547,2.6,6.3,4.5,9.7,0.6,0,12.3,11.9,114,120.9,107.5,0.9,0.4,1.3,1.8,1.5,3.3,/cbb/players/isaiah-thompson-1.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Brandon Newman,FR,2020-21,G,Purdue,Big Ten,28,662,78,196,0.398,39,93,39,103,0.379,30,32,0.938,11,87,98,37,21,11,44,53,225,12.9,0.533,0.497,2,15.2,8.6,10.9,1.9,2.2,17.2,19.9,205,100.3,100,0.7,1,1.6,1.4,2.5,4,/cbb/players/brandon-newman-2.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Trevion Williams,JR,2020-21,F,Purdue,Big Ten,28,703,191,364,0.525,191,361,0,3,0,53,106,0.5,104,152,256,63,19,16,66,82,435,29,0.525,0.525,17.5,25,21.3,24.9,1.6,3,13.7,35.3,434,107,96.4,2.1,1.3,3.4,6.8,1.9,8.7,/cbb/players/trevion-williams-1.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Jaden Ivey,FR,2020-21,G,Purdue,Big Ten,23,557,89,223,0.399,64,126,25,97,0.258,53,73,0.726,19,57,76,43,17,16,31,39,256,18.2,0.497,0.455,4,11.8,8,16.4,1.8,3.8,10.7,26.8,243,105.4,100.6,1.1,0.8,1.9,4.4,2.3,6.7,/cbb/players/jaden-ivey-1.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Aaron Wheeler,JR,2020-21,F,Purdue,Big Ten,28,512,39,100,0.39,22,36,17,64,0.266,13,23,0.565,25,99,124,29,17,13,26,53,108,11.8,0.487,0.475,5.8,22.4,14.2,10.2,2,3.3,19,13.8,116,98.4,96.4,0.3,0.9,1.3,0.5,4,4.5,/cbb/players/aaron-wheeler-2.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Eric Hunter,JR,2020-21,G,Purdue,Big Ten,24,734,72,194,0.371,50,113,22,81,0.272,38,47,0.809,13,40,53,67,26,5,41,48,204,10.7,0.472,0.428,2.1,6.3,4.2,17.1,2.1,0.9,15.9,18.1,213,99,103.5,0.6,0.8,1.4,0.1,2.2,2.3,/cbb/players/eric-hunterjr-1.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Ethan Morton,FR,2020-21,G,Purdue,Big Ten,23,200,5,20,0.25,1,6,4,14,0.286,0,0,NA,2,16,18,20,2,1,14,10,14,1.9,0.35,0.35,1.2,9.3,5.3,16.5,0.6,0.7,41.2,8.8,24,71,106.2,-0.2,0.2,0,-2.5,2,-0.5,/cbb/players/ethan-morton-1.html,/cbb/schools/purdue/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Mawot Mag,FR,2020-21,F,Rutgers,Big Ten,12,70,10,16,0.625,9,13,1,3,0.333,3,6,0.5,4,9,13,1,2,1,4,5,24,16.4,0.637,0.656,6.5,14.3,10.4,2.8,1.7,1.5,17.5,16.8,21,109.5,101.6,0.1,0.1,0.2,0.7,1,1.8,/cbb/players/mawot-mag-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Myles Johnson,JR,2020-21,F,Rutgers,Big Ten,28,692,98,156,0.628,98,156,0,0,NA,27,62,0.435,81,158,239,22,32,68,34,72,223,25.2,0.601,0.628,13.2,25.4,19.4,6.1,2.7,10.6,15.5,16.3,231,116.1,89.5,1.5,1.7,3.3,3.6,5.7,9.3,/cbb/players/myles-johnson-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Clifford Omoruyi,FR,2020-21,C,Rutgers,Big Ten,23,343,36,57,0.632,35,55,1,2,0.5,14,33,0.424,19,72,91,4,9,16,10,45,87,15.7,0.599,0.64,6.3,23.3,14.9,2.1,1.5,5.1,12.1,12.4,80,114.5,95.8,0.5,0.6,1.2,0,3.6,3.7,/cbb/players/clifford-omoruyi-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Paul Mulcahy,SO,2020-21,G,Rutgers,Big Ten,28,763,58,121,0.479,36,65,22,56,0.393,27,40,0.675,25,68,93,80,18,10,45,63,165,11.9,0.589,0.57,3.7,9.9,6.8,18,1.4,1.4,24.3,12.5,190,108.2,104.2,1,0.8,1.8,1,2.7,3.6,/cbb/players/paul-mulcahy-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Jacob Young,SR,2020-21,G,Rutgers,Big Ten,28,844,152,324,0.469,121,240,31,84,0.369,61,84,0.726,8,45,53,94,48,1,83,52,396,17.6,0.544,0.517,1.1,5.9,3.5,23.3,3.3,0.1,18.6,27.3,380,99.3,102.3,1.1,1.1,2.2,2.4,2.4,4.8,/cbb/players/jacob-young-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Ron Harper,JR,2020-21,G,Rutgers,Big Ten,27,863,146,331,0.441,101,186,45,145,0.31,64,87,0.736,27,131,158,42,18,17,31,52,401,19.6,0.539,0.509,3.5,16.9,10.3,9.9,1.2,2.1,7.7,24.1,362,111,101.2,2.1,1.2,3.2,4.6,2,6.6,/cbb/players/ron-harperjr-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Mamadou Doucoure,SR,2020-21,F,Rutgers,Big Ten,11,61,6,12,0.5,6,12,0,0,NA,2,4,0.5,6,8,14,0,3,0,0,13,14,13,0.504,0.5,11.1,14.6,12.9,0,2.9,0,0,11.7,15,122.1,98.9,0.1,0.1,0.2,-1.5,2.4,0.8,/cbb/players/mamadou-doucoure-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Geo Baker,SR,2020-21,G,Rutgers,Big Ten,25,780,99,242,0.409,62,120,37,122,0.303,24,32,0.75,8,69,77,79,30,11,43,56,259,13.8,0.503,0.486,1.2,9.8,5.5,19,2.3,1.5,14.3,19.8,258,100.5,102.2,0.8,1,1.8,1.8,3.1,4.8,/cbb/players/geo-baker-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Montez Mathis,JR,2020-21,G,Rutgers,Big Ten,28,593,85,222,0.383,63,148,22,74,0.297,39,68,0.574,28,50,78,22,19,8,30,66,231,11.9,0.454,0.432,5.3,9.4,7.4,7.2,1.9,1.5,10.6,24.7,218,93.4,103.1,0.3,0.7,1,-1.2,0.8,-0.3,/cbb/players/montez-mathis-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Dean Reiber,FR,2020-21,F,Rutgers,Big Ten,13,76,3,10,0.3,3,7,0,3,0,5,6,0.833,2,8,10,1,3,5,5,11,11,5.7,0.428,0.3,3,11.7,7.4,2.1,2.3,7.1,28,12.1,11,73.3,98,-0.1,0.1,0.1,-6.5,3,-3.4,/cbb/players/dean-reiber-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Caleb McConnell,JR,2020-21,G,Rutgers,Big Ten,20,457,44,139,0.317,34,90,10,49,0.204,16,20,0.8,23,63,86,31,29,7,17,47,114,11.7,0.384,0.353,5.7,15.3,10.5,12.1,3.7,1.7,10.3,18.6,126,89.1,96.4,0,0.8,0.8,-0.3,4.8,4.5,/cbb/players/caleb-mcconnell-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Oskar Palmquist,FR,2020-21,F,Rutgers,Big Ten,12,60,2,12,0.167,0,2,2,10,0.2,3,6,0.5,3,5,8,5,2,0,5,8,9,1.2,0.303,0.25,5.7,9.3,7.5,13.3,2,0,25.2,17,12,68.2,103.7,-0.1,0.1,0,-6.1,0.2,-5.9,/cbb/players/oskar-palmquist-1.html,/cbb/schools/rutgers/2021.html,/cbb/conferences/big-ten/2021.html,/cbb/seasons/2021.html
Marek Dolezaj,SR,2020-21,F,Syracuse,ACC,28,981,93,171,0.544,93,169,0,2,0,87,102,0.853,44,100,144,91,32,24,48,80,273,16.9,0.622,0.544,5.1,10.8,8.1,16.4,1.9,2.9,17.9,13.8,304,123.5,104.7,2.4,1,3.4,2,2.6,4.6,/cbb/players/marek-dolezaj-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Woody Newton,FR,2020-21,F,Syracuse,ACC,11,87,13,28,0.464,6,10,7,18,0.389,5,8,0.625,2,18,20,1,3,3,4,9,38,18.7,0.597,0.589,2.6,22,12.6,2.2,2,4,11.2,20.8,30,110,97.9,0.2,0.1,0.3,1.4,2.2,3.6,/cbb/players/woody-newton-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Buddy Boeheim,JR,2020-21,G,Syracuse,ACC,25,905,161,372,0.433,84,171,77,201,0.383,45,53,0.849,14,52,66,64,33,1,40,41,444,18.6,0.559,0.536,1.8,6.1,4,14.7,2.1,0.1,9.1,24.4,394,112.8,107.9,2.4,0.6,3,4.6,0.5,5.1,/cbb/players/buddy-boeheim-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Alan Griffin,JR,2020-21,G,Syracuse,ACC,28,819,132,306,0.431,76,151,56,155,0.361,52,58,0.897,45,118,163,50,33,46,58,54,372,21.2,0.558,0.523,6.2,15.3,10.9,12.2,2.3,6.6,14.8,24.2,351,107.6,99.8,1.7,1.2,2.9,4.5,2.6,7.2,/cbb/players/alan-griffin-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Quincy Guerrier,SO,2020-21,F,Syracuse,ACC,28,921,146,296,0.493,123,222,23,74,0.311,68,101,0.673,77,159,236,23,23,32,30,78,383,20.9,0.557,0.532,9.5,18.3,14.1,5,1.4,4.1,8,20.5,363,117.5,101.2,2.5,1.3,3.8,3.2,0.7,3.9,/cbb/players/quincy-guerrier-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Kadary Richmond,FR,2020-21,F,Syracuse,ACC,28,589,63,139,0.453,56,118,7,21,0.333,44,61,0.721,18,56,74,86,46,14,44,38,177,18.4,0.527,0.478,3.5,10.1,6.9,26.4,4.5,2.8,20.8,18.2,207,105.9,99.1,0.9,0.9,1.9,1.7,4.6,6.2,/cbb/players/kadary-richmond-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Jesse Edwards,SO,2020-21,C,Syracuse,ACC,18,160,12,26,0.462,12,26,0,0,NA,10,14,0.714,16,31,47,0,6,8,6,30,34,13.4,0.521,0.462,11.4,20.6,16.1,0,2.2,5.8,15.5,12.2,38,109.2,97.2,0.2,0.3,0.5,-2.1,2.6,0.5,/cbb/players/jesse-edwards-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Robert Braswell,SO,2020-21,F,Syracuse,ACC,24,290,29,79,0.367,12,22,17,57,0.298,15,18,0.833,11,34,45,3,10,7,8,30,90,12.4,0.514,0.475,4.3,12.4,8.5,1.8,2,2.8,8.4,16.7,80,106.6,103.5,0.4,0.3,0.7,0.5,1.6,2.2,/cbb/players/robert-braswell-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Joseph Girard,SO,2020-21,G,Syracuse,ACC,28,776,92,259,0.355,42,109,50,150,0.333,39,50,0.78,6,75,81,99,39,2,59,34,273,13.6,0.483,0.452,0.9,10.3,5.7,23.5,2.9,0.3,17.3,22.3,285,97.1,103.8,0.6,0.9,1.5,0.8,1.4,2.2,/cbb/players/joseph-girardiii-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
John Bol Ajak,FR,2020-21,C,Syracuse,ACC,10,51,1,4,0.25,1,4,0,0,NA,0,0,NA,2,2,4,2,1,2,1,7,2,2.8,0.25,0.25,4.5,4.2,4.3,6.1,1.1,4.6,20,5,4,81.6,109,0,0,0,-4.1,2.6,-1.5,/cbb/players/johnbol-ajak-1.html,/cbb/schools/syracuse/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Jay Huff,SR,2020-21,F,Virginia,ACC,25,676,127,217,0.585,98,142,29,75,0.387,41,49,0.837,43,134,177,24,13,66,33,65,324,31.4,0.674,0.652,8.9,24.6,17.2,8.1,1.3,11.9,12.1,24,294,125.9,91.8,2.8,1.5,4.3,6.9,5,11.9,/cbb/players/jay-huff-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Trey Murphy,JR,2020-21,G,Virginia,ACC,25,739,96,191,0.503,44,71,52,120,0.433,38,41,0.927,15,70,85,30,20,11,19,49,282,20.9,0.67,0.639,2.8,11.7,7.6,8.2,1.8,1.8,8.3,18.4,248,129.8,102,2.5,0.9,3.5,6,2.4,8.4,/cbb/players/trey-murphyiii-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Sam Hauser,SR,2020-21,F,Virginia,ACC,25,856,147,292,0.503,84,141,63,151,0.417,43,48,0.896,21,149,170,45,14,10,26,39,400,25.2,0.635,0.611,3.4,21.6,13.1,11.6,1.1,1.4,7.6,23.7,357,125.1,100.5,3.3,1.2,4.6,8.1,2,10.1,/cbb/players/sam-hauser-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Francisco Caffaro,JR,2020-21,C,Virginia,ACC,17,117,6,12,0.5,6,12,0,0,NA,8,10,0.8,9,12,21,2,0,1,7,16,20,7.5,0.597,0.5,10.8,12.7,11.8,3,0,1,29.5,12.1,25,106.1,106,0.1,0.1,0.2,-3.7,0.3,-3.4,/cbb/players/francisco-caffaro-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Thomas Woldetensae,SR,2020-21,G,Virginia,ACC,22,297,32,78,0.41,9,23,23,55,0.418,10,11,0.909,2,27,29,21,11,1,12,20,97,16,0.583,0.558,0.9,11.3,6.4,13.6,2.4,0.4,12.6,19,92,111.7,101.6,0.6,0.4,1,2.3,2.5,4.8,/cbb/players/thomas-woldetensae-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Kadin Shedrick,FR,2020-21,F,Virginia,ACC,11,86,11,21,0.524,11,20,0,1,0,6,9,0.667,12,12,24,3,2,4,6,14,28,19.9,0.554,0.524,19.5,17.3,18.3,7,1.5,5.7,19.2,21.6,33,110.9,97.6,0.2,0.1,0.4,-1.3,0.7,-0.6,/cbb/players/kadin-shedrick-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Justin McKoy,SO,2020-21,F,Virginia,ACC,19,214,28,58,0.483,25,49,3,9,0.333,8,10,0.8,17,45,62,10,4,0,10,18,67,17.7,0.534,0.509,11.1,26.1,19,9.4,1.2,0,13.7,20.2,73,109,99.3,0.4,0.3,0.8,1.7,0.5,2.1,/cbb/players/justin-mckoy-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Kihei Clark,JR,2020-21,G,Virginia,ACC,25,850,85,207,0.411,65,145,20,62,0.323,47,64,0.734,6,45,51,113,18,0,53,30,237,12.8,0.499,0.459,1,6.6,3.9,25.3,1.4,0,18.3,20.3,278,102,106,1.1,0.8,1.9,0.6,0.2,0.8,/cbb/players/kihei-clark-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Reece Beekman,FR,2020-21,G,Virginia,ACC,25,734,42,110,0.382,33,73,9,37,0.243,25,33,0.758,5,66,71,75,30,10,29,37,118,11.2,0.469,0.423,1,11.1,6.4,18,2.7,1.7,18.7,12.5,151,101.1,100.3,0.6,1.1,1.6,-0.5,4,3.4,/cbb/players/reece-beekman-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Casey Morsell,SO,2020-21,G,Virginia,ACC,23,344,42,106,0.396,32,68,10,38,0.263,7,11,0.636,6,25,31,14,8,6,13,24,101,10.3,0.454,0.443,2.4,9,5.9,8.1,1.5,2.1,10.5,21.5,95,90.6,103.3,0,0.4,0.4,-1.8,0.9,-1,/cbb/players/casey-morsell-1.html,/cbb/schools/virginia/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Hunter Cattoor,SO,2020-21,G,Virginia Tech,ACC,22,491,57,125,0.456,18,35,39,90,0.433,34,43,0.791,2,39,41,30,20,11,26,34,187,17.7,0.643,0.612,0.5,9.7,5.1,12,2.5,2.7,15.2,18.5,165,117.2,98.8,1.2,0.8,1.9,3.8,3.4,7.2,/cbb/players/hunter-cattoor-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Tyrece Radford,SO,2020-21,G,Virginia Tech,ACC,18,579,82,149,0.55,75,125,7,24,0.292,49,64,0.766,35,72,107,37,10,7,18,28,220,21.2,0.613,0.574,7.4,15.2,11.3,13.3,1,1.5,9.1,18,219,128.6,101,2,0.8,2.8,5.4,2.2,7.6,/cbb/players/tyrece-radford-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Keve Aluma,JR,2020-21,F,Virginia Tech,ACC,22,674,118,241,0.49,98,184,20,57,0.351,78,108,0.722,56,118,174,48,15,29,41,52,334,25.7,0.571,0.531,10.1,21.3,15.7,15.9,1.3,5.2,12.3,26.1,334,116.5,95.9,2.3,1.3,3.6,5.9,2.7,8.7,/cbb/players/keve-aluma-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Cordell Pemsl,SR,2020-21,F,Virginia Tech,ACC,13,127,10,19,0.526,10,19,0,0,NA,7,11,0.636,5,26,31,5,0,1,6,15,27,9.7,0.557,0.526,4.8,25,14.9,7.2,0,1,19.9,12.6,28,104.3,100,0.1,0.2,0.3,-1.8,2.1,0.3,/cbb/players/cordell-pemsl-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Justyn Mutts,SR,2020-21,F,Virginia Tech,ACC,22,652,83,162,0.512,68,117,15,45,0.333,27,53,0.509,37,104,141,49,13,17,51,62,208,15.1,0.556,0.559,6.9,19.4,13.2,15.1,1.2,3.2,21.4,19.3,217,101.6,97.9,0.8,1.1,1.9,0.8,2.6,3.3,/cbb/players/justyn-mutts-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
David N'Guessan,FR,2020-21,F,Virginia Tech,ACC,21,203,21,36,0.583,21,34,0,2,0,13,31,0.419,15,33,48,8,6,2,9,33,55,13.7,0.542,0.583,9,19.8,14.4,7.6,1.8,1.2,15.1,15.6,58,108.2,97.3,0.3,0.4,0.7,-1.7,2.5,0.8,/cbb/players/david-nguessan-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Nahiem Alleyne,SO,2020-21,G,Virginia Tech,ACC,22,624,78,199,0.392,36,96,42,103,0.408,46,57,0.807,4,54,58,37,15,2,33,47,244,13.5,0.54,0.497,0.8,10.6,5.7,11.9,1.4,0.4,12.7,22,222,105.1,102.1,1,0.8,1.8,1.3,1.3,2.6,/cbb/players/nahiem-alleyne-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Jalen Cone,SO,2020-21,G,Virginia Tech,ACC,15,299,45,126,0.357,8,20,37,106,0.349,11,13,0.846,2,14,16,14,6,1,12,15,138,14.1,0.522,0.504,0.8,5.7,3.3,9.9,1.2,0.4,8.3,25.5,117,104.3,104.5,0.5,0.3,0.8,3.2,-0.1,3.1,/cbb/players/jalen-cone-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Cartier Diarra,SR,2020-21,G,Virginia Tech,ACC,4,79,10,23,0.435,9,15,1,8,0.125,9,13,0.692,4,6,10,9,0,1,9,10,30,11.4,0.514,0.457,6.2,9.3,7.7,22.9,0,1.5,23.6,25.6,33,95.8,104.9,0.1,0.1,0.1,-1.7,0.1,-1.6,/cbb/players/cartier-diarra-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Joseph Bamisile,FR,2020-21,G,Virginia Tech,ACC,13,116,17,46,0.37,13,30,4,16,0.25,7,8,0.875,5,14,19,4,2,1,6,7,45,11.9,0.452,0.413,5.3,14.7,10,7.2,1,1,10.8,25.4,42,93,101.4,0,0.2,0.2,-2.8,-1.1,-3.9,/cbb/players/joseph-bamisile-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Wabissa Bede,SR,2020-21,G,Virginia Tech,ACC,22,570,33,97,0.34,21,48,12,49,0.245,8,11,0.727,3,48,51,69,19,9,30,51,86,7.6,0.421,0.402,0.6,10.3,5.5,21.4,2,1.9,22.7,12.3,113,91.3,100,0.1,0.8,0.9,-2.1,3.3,1.1,/cbb/players/wabissa-bede-1.html,/cbb/schools/virginia-tech/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Emmanuel Okpomo,FR,2020-21,C,Wake Forest,ACC,14,132,5,9,0.556,5,9,0,0,NA,6,8,0.75,8,16,24,1,4,11,9,24,16,8.4,0.625,0.556,7,15.3,11,1.4,1.8,9.6,41.3,8.6,18,87.9,102,0,0.2,0.2,-5.7,4,-1.7,/cbb/players/emmanuel-okpomo-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Jonah Antonio,SR,2020-21,G,Wake Forest,ACC,21,412,43,105,0.41,5,10,38,95,0.4,10,11,0.909,4,47,51,20,14,4,20,27,134,14.1,0.608,0.59,1.1,14.4,7.5,10.5,2,1.1,15.4,16.5,119,110.1,107.5,0.7,0.3,1,2.7,1.4,4,/cbb/players/jonah-antonio-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Daivien Williamson,JR,2020-21,G,Wake Forest,ACC,22,756,97,213,0.455,62,119,35,94,0.372,55,70,0.786,1,46,47,56,29,1,43,29,284,15.6,0.577,0.538,0.2,7.7,3.8,16.9,2.3,0.2,14.9,20,267,109.3,109.7,1.4,0.4,1.8,1.8,0.8,2.6,/cbb/players/daivien-williamson-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Ian Dubose,SR,2020-21,G,Wake Forest,ACC,11,271,41,90,0.456,28,54,13,36,0.361,25,42,0.595,7,44,51,26,15,2,17,28,120,20.6,0.546,0.528,3,20.5,11.4,23.1,3.3,0.8,13.4,24.5,118,108.2,102.8,0.6,0.3,0.9,3,2.7,5.7,/cbb/players/ian-dubose-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Isaiah Mucius,JR,2020-21,F,Wake Forest,ACC,22,561,81,192,0.422,54,113,27,79,0.342,37,52,0.712,40,75,115,13,10,8,34,46,226,15.5,0.521,0.492,8.2,16.9,12.4,5.5,1.1,1.6,13.6,23.4,214,101.4,108.6,0.7,0.4,1.1,1.8,-0.7,1.1,/cbb/players/isaiah-mucius-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Ody Oguama,SO,2020-21,F,Wake Forest,ACC,20,438,53,114,0.465,53,114,0,0,NA,45,67,0.672,47,61,108,8,8,7,25,55,151,15.4,0.518,0.465,12.4,17.6,14.9,4.1,1.1,1.8,14.6,20.4,157,104.9,107.9,0.7,0.3,1,-0.7,-0.4,-1.1,/cbb/players/ody-oguama-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Jalen Johnson,SR,2020-21,G,Wake Forest,ACC,21,343,35,93,0.376,14,30,21,63,0.333,13,17,0.765,13,38,51,13,9,11,13,25,104,13.5,0.514,0.489,4.4,14,9,8.2,1.6,3.7,11.4,17.4,99,104,107.1,0.4,0.3,0.7,1.3,0.9,2.2,/cbb/players/jalen-johnson-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Quadry Adams,FR,2020-21,G,Wake Forest,ACC,9,72,8,16,0.5,8,16,0,0,NA,4,8,0.5,5,3,8,4,4,0,3,11,20,13.1,0.505,0.5,8,5.3,6.7,12.2,3.3,0,13.2,16.6,22,105.8,107.6,0.1,0.1,0.2,-3.5,1.6,-1.9,/cbb/players/quadry-adams-1.html,/cbb/schools/wake-forest/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
